,DOI,Publisher,Funders,Funder Id,RoRID (Funder),Author(s),Article Title,Journal Name,Online Publication Date,Print Publication Date,Last Audited On,Publicly Accessible On Publisher Site,License Type,License URL,Reuse License Start Date,Agency Portal URL,Type,Added,Updated,ORCID,Grant ID,Archived,Datasets,CHORUS Verified OA,Audit Source,Funder Source
41730,10.1115/1.4063568,ASME International,NASA,10.13039/100000104,https://ror.org/027ka1x80,Szajnfarber Zoe;Vrolijk Ademir-Paolo,Requirements Objectives Both or Neither: How to Formulate Complex Design Problems for Innovation Contests,Journal of Mechanical Design,2023-07-11,2024-01-03,19/10/2023,7/11/2023,vor,https://www.asme.org/publications-submissions/publishing-information/legal-policies,07/11/2023,,journal-article,7/10/2023,21/11/2023,,NNX13AR06G,Yes,,Yes,CHORUS,Crossref
41741,10.1016/j.icarus.2023.115809,Elsevier BV,NASA,10.13039/100000104,https://ror.org/027ka1x80,Christensen Phil R.;Haberle Chris H.;Hamilton Victoria E.;Hanna Romy D.;Kaplan Hannah H.;Lantz Cateline;Reuter Dennis C.;Simon Amy A.,Phyllosilicate decomposition on Bennu due to prolonged surface exposure,Icarus,,2024-01-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,28/09/2024,,journal-article,7/10/2023,13/9/2024,http://orcid.org/0000-0003-4641-6186,80NSSC18K0229;ALH 83100,Yes,,Unknown,,Crossref
41744,10.1016/j.lssr.2023.09.005,Elsevier BV,NASA John F Kennedy Space Center;NASA;Purdue University,10.13039/100006194;10.13039/100000104;10.13039/100006377,https://ror.org/03kjpzv42;https://ror.org/027ka1x80;https://ror.org/02dqehb95,Elsysy Mokhles A.;Massa Gioia D.;Mitchell Cary A.;Morrow Robert C.;Morsi Asmaa H.;Wheeler Raymond M.,Leaf yield and mineral content of mizuna in response to cut-and-come-again harvest substrate particle size and fertilizer formulation in a simulated spaceflight environment,Life Sciences in Space Research,,2024-02-01,19/10/2023,19/9/2023,vor,http://creativecommons.org/licenses/by-nc-nd/4.0/,19/09/2023,,journal-article,11/10/2023,6/8/2024,http://orcid.org/0000-0002-0694-3208,NNX15AN78G;1075,Yes,,Yes,CHORUS,Crossref
41879,10.1007/s42967-022-00235-9,Springer Science and Business Media LLC,NASA;NSF,10.13039/100000104;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/021nxhr62,Balsara Dinshaw S.;Bhoriya Deepak;Kumar Harish;Subramanian Sethupathy,Techniques Tricks and Algorithms for Efficient GPU-Based Processing of Higher Order Hyperbolic PDEs,Communications on Applied Mathematics and Computation,2023-03-30,2024-12-01,27/7/2023,,vor,,,,journal-article,16/5/2023,14/9/2024,http://orcid.org/0000-0003-2849-9045;http://orcid.org/0000-0003-0017-0811;http://orcid.org/0000-0003-3309-1052,NASA-2020-1241;80NSSC22K0628;NSF-19-04774;NSF-AST-2009776,Yes,,No,CHORUS,Crossref
44473,10.1016/j.slast.2022.02.001,Elsevier BV,NASA CTSGC;NASA,10.13039/100005734;10.13039/100000104,https://ror.org/01th7sf79;https://ror.org/027ka1x80,Wang Shue;Zhao Yuwen,Experimental and biophysical modeling of transcription and translation dynamics in bacterial- and mammalian-based cell-free expression systems,SLAS Technology,,2024-04-01,12/5/2022,24/2/2022,vor,http://creativecommons.org/licenses/by-nc-nd/4.0/,24/02/2022,,journal-article,4/3/2022,9/6/2024,http://orcid.org/0000-0001-5020-9134,-1558,Yes,,Yes,GetFTR,Crossref
45467,10.1093/mnras/stae850,Oxford University Press (OUP),European Research Council;NASA;NSF;STFC,10.13039/100010663;10.13039/100000104;10.13039/100000001;10.13039/501100000271,https://ror.org/0472cxd90;https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/057g20z61,Bastian Nate;Bekki Kenji;Brodie Jean P;Buzzo Maria Luisa;Couch Warrick J;Crain Robert A;Forbes Duncan A;Gannon Jonah S;Janssens Steven R;Kruijssen J M Diederik;Pfeffer Joel;Romanowsky Aaron J,Origin of the correlation between stellar kinematics and globular cluster system richness in ultradiffuse galaxies,Monthly Notices of the Royal Astronomical Society,2024-03-26,2024-03-23,18/9/2024,27/3/2024,vor,https://creativecommons.org/licenses/by/4.0/,27/03/2024,,journal-article,17/4/2024,8/6/2024,,714907;NAS5-26555;2308390;ST/K00042X/1;ST/H008519/1;ST/K00087X/1;ST/K003267/1,Yes,,Yes,CHORUS,Crossref
45468,10.3847/2515-5172/ad3041,American Astronomical Society,NASA ∣ NASA Headquarters,10.13039/100017437,https://ror.org/027ka1x80,Cucchiara Antonino;Harris Kaniyah;Helfenbein Mallory;Hoare Isabelle;Volz Máire,The Expertise Finder: Using NASA ADS for Panel Reviewer Selection,Research Notes of the AAS,2024-11-03,2024-11-03,10/7/2024,11/3/2024,vor,http://creativecommons.org/licenses/by/4.0/,11/03/2024,,journal-article,17/4/2024,,,,Yes,,Yes,CHORUS,Crossref
45469,10.3847/1538-4357/ad23e2,American Astronomical Society,NASA;NSF,10.13039/100000104;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/021nxhr62,Barth Aaron J.;Cackett Edward M.;Edelson Rick;Gelbord Jonathan;Hernández Santisteban Juan V.;Horne Keith;Kaplan David L.;Kara Erin;Liu Tingting;Montano John,Intensive Swift and LCO Monitoring of PG 1302102: Active Galactic Nucleus Disk Reverberation Mapping of a Supermassive Black Hole Binary Candidate,The Astrophysical Journal,2024-03-28,2024-01-04,10/7/2024,28/3/2024,vor,http://creativecommons.org/licenses/by/4.0/,28/03/2024,,journal-article,17/4/2024,,,80NSSC24K0251;2020265,Yes,,Yes,CHORUS,Crossref
45470,10.1364/ao.519772,Optica Publishing Group,NASA,10.13039/100000104,https://ror.org/027ka1x80,Blocker E. Riley;Voss Kenneth J.,Rotation of reference frame dependent polarimetric variables for equidistant fisheye lens projections,Applied Optics,2024-03-26,2024-01-04,11/8/2025,,am,https://doi.org/10.1364/OA_License_v2#AM,26/03/2025,,journal-article,17/4/2024,14/9/2024,,80GSFC20C0100;NNH18ZDA001N-PACE;80NSSC20K1455,Yes,,Unknown,,Crossref
45471,10.1016/j.gca.2024.04.011,Elsevier BV,Japan Society for the Promotion of Science;JSPS;NASA;NSF,10.13039/501100000646;10.13039/501100001691;10.13039/100000104;10.13039/100000001,https://ror.org/02m7axw05;https://ror.org/00hhkn466;https://ror.org/027ka1x80;https://ror.org/021nxhr62,Kimura Makoto;Kita Noriko;Nakashima Daisuke;Noguchi Takaaki;Ushikubo Takayuki,Oxygen isotope study of the Asuka-881020 CH chondrite II: Porphyritic chondrules,Geochimica et Cosmochimica Acta,,2024-05-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,13/04/2025,,journal-article,17/4/2024,14/9/2024,,18H01263;NNX11AG62G;EAR10-53466;EAR-1658823,Yes,,Unknown,,Crossref
45472,10.1093/mnras/stae990,Oxford University Press (OUP),NASA;NSF,10.13039/100000104;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/021nxhr62,Borrow Josh;O’Neil Stephanie;Vogelsberger Mark;Wang Bing;Zhao Hanzhang,How time weathers galaxies: the temporal impact of the cluster environment on galaxy formation and evolution,Monthly Notices of the Royal Astronomical Society,2024-04-13,2024-04-25,18/9/2024,14/4/2024,vor,https://creativecommons.org/licenses/by/4.0/,14/04/2024,,journal-article,8/5/2024,8/6/2024,,19-ATP19-0019;19-ATP19-0020;19-ATP19-0167;AST-1814053;AST-1814259;AST-1909831;AST-2007355;AST-2107724,Yes,,Yes,CHORUS,Crossref
45473,10.1016/j.rse.2024.114123,Elsevier BV,California Department of Water Resources;FNR;Instituto de Neurobiología Ramón y Cajal;NASA;USDOE,10.13039/100004813;10.13039/501100001866;10.13039/501100003340;10.13039/100000104;10.13039/100000015,https://ror.org/0115n5160;https://ror.org/039z13y21;https://ror.org/012gwbh42;https://ror.org/027ka1x80;https://ror.org/01bj3aw27,Baldocchi Dennis;Boulet Gilles;Fisher Joshua B.;Hu Tian;Kang Yanghui;Mallick Kanishka;Ortiz Ariane Arias;Shortt Robert;Sulis Mauro;Szantoi Zoltan;Szutu Daphne;Verfaillie Joseph;Wang Tianxin;Yi Koong,Net fluxes of broadband shortwave and photosynthetically active radiation complement NDVI and near infrared reflectance of vegetation to explain gross photosynthesis variability across ecosystems and climate,Remote Sensing of Environment,,2024-06-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,26/04/2025,,journal-article,8/5/2024,13/9/2024,,,Yes,,Unknown,,Crossref
45474,10.1093/mnras/stae563,Oxford University Press (OUP),APSF;European Research Council;European Union;NASA;ORAU,10.13039/100000879;10.13039/100010663;10.13039/501100000780;10.13039/100000104;10.13039/100006225,https://ror.org/052csg198;https://ror.org/0472cxd90;https://ror.org/00k4n6c32;https://ror.org/027ka1x80;https://ror.org/0526p1y61,Owen James E;Rogers James G;Schlichting Hilke E,Under the light of a new star: evolution of planetary atmospheres through protoplanetary disc dispersal and boil-off,Monthly Notices of the Royal Astronomical Society,2024-02-22,2024-03-18,18/9/2024,22/2/2024,vor,https://creativecommons.org/licenses/by/4.0/,22/02/2024,,journal-article,8/5/2024,13/9/2024,,G202114194;853022;80NSSC18K0828,Yes,,Yes,CHORUS,Crossref
45475,10.3847/1538-3881/ad3040,American Astronomical Society,John Templeton Foundation;NASA ∣ Science Mission Directorate;NASA ∣ Science Mission Directorate;NASA;NASA;NSF;NSF;NSF;NSF,10.13039/100000925;10.13039/100016465;10.13039/100016465;10.13039/100000104;10.13039/100000104;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001,https://ror.org/035tnyy05;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62,Astudillo-Defru Nicola;Barclay Thomas;Bonfils Xavier;Caldwell Douglas A.;Charbonneau David;Cloutier Ryan;Collins Karen A.;Collins Kevin I.;Daylan Tansu;Fong William;Hord Benjamin J.;Jenkins Jon M.;Kruse Ethan;Kunimoto Michelle;McDermott Scott;Murgas Felipe;Palle Enric;Ricker George R.;Rowe Jason F.;Schlieder Joshua E.;Schwarz Richard P.;Seager Sara;Shporer Avi;Silverstein Michele L.;Tey Evan;Vanderspek Roland;Winn Joshua N.,Validation of a Third Planet in the LHS 1678 System,The Astronomical Journal,2024-06-05,2024-01-06,10/7/2024,6/5/2024,vor,http://creativecommons.org/licenses/by/4.0/,06/05/2024,,journal-article,8/5/2024,8/6/2024,,62192;20-ADAP20-0016;NAS 5-26555;80NSSC18K0476;80GSFC21M0002;AST-0807690;AST-1109468;AST-1004488;AST-1616624,Yes,,Yes,CHORUS,Crossref
45476,10.5194/tc-18-2195-2024,Copernicus GmbH,"Consejería de Economía, Innovación, Ciencia y Empleo, Junta de Andalucía;NASA",10.13039/501100002878;10.13039/100000104,https://ror.org/03kak1729;https://ror.org/027ka1x80,Barge Laura M.;Cartwright Julyan H. E.;Eichler Jan;Sainz-Díaz C. Ignacio;Testón-Martínez Sergio,Experimental modelling of the growth of tubular ice brinicles from brine flows under sea ice,The Cryosphere,2024-03-05,,,,vor,,,,journal-article,8/5/2024,13/9/2024,,AND21_IACT_M2_058;80NM0018D0004,Unknown,,Unknown,,Crossref
45477,10.1016/j.accre.2024.03.004,Elsevier BV,Chinese Academy of Sciences;NASA,10.13039/501100002367;10.13039/100000104,https://ror.org/034t30j35;https://ror.org/027ka1x80,Che Tao;Guo Wan-Qin;Jiang Zong-Li;Kang Shi-Chang;Kang Yu-Long;Wang Zhen-Feng;Xu Qiang-Qiang;Yang Cheng-De,Spatiotemporal variations in glacier area and surface velocity of the northern Antarctic Peninsula during 20182022,Advances in Climate Change Research,,2024-04-01,17/7/2025,,vor,http://creativecommons.org/licenses/by-nc-nd/4.0/,08/03/2024,,journal-article,8/5/2024,8/6/2024,,121362KYSB20210024,Yes,,Unknown,,Crossref
45478,10.1093/mnras/stae948,Oxford University Press (OUP),NASA;NSF;State Committee of Science,10.13039/100000104;10.13039/100000001;10.13039/501100007029,https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/01ptpr676,Andreasyan H R;Magakian T Yu;Movsessian T A;Reipurth B,New HerbigHaro objects associated with embedded sources,Monthly Notices of the Royal Astronomical Society,2024-05-04,2024-04-13,18/9/2024,5/4/2024,vor,https://creativecommons.org/licenses/by/4.0/,05/04/2024,,journal-article,8/5/2024,8/6/2024,,21T-1C031,Yes,,Yes,CHORUS,Crossref
45479,10.1029/2023gl106277,American Geophysical Union (AGU),"Dean of the Faculty of Arts and Sciences, Dartmouth College;Heliophysics Division",10.13039/100012850;10.13039/100020016,https://ror.org/03myraf72,Cantwell Kelly;Millan Robyn,BARREL Observations of Microburst Events With a SlowlyVarying Component,Geophysical Research Letters,2024-04-05,2024-05-16,10/9/2024,4/5/2024,vor,http://creativecommons.org/licenses/by/4.0/,04/05/2024,,journal-article,8/5/2024,7/8/2024,,80NSSC18K1275;80NSSC24K0241;80NSSC19K0702,Yes,,Yes,CHORUS,Crossref
45480,10.3847/1538-4357/ad36be,American Astronomical Society,"Council of Scientific and Industrial Research, India;Department of Atomic Energy, Government of India;Deutsche Forschungsgemeinschaft;EC ∣ European Research Council;European Commission;Hellenic Foundation for Research and Innovation;MOST ∣ National Natural Science Foundation of China;NSF ∣ Directorate for Mathematical and Physical Sciences;NSF ∣ MPS ∣ Division of Astronomical Sciences;NASA;Research Corporation for Science Advancement;UKRI ∣ Science and Technology Facilities Council;UKRI ∣ Science and Technology Facilities Council",10.13039/501100001412;10.13039/501100001502;10.13039/501100001659;10.13039/501100000781;10.13039/501100000780;10.13039/501100013209;10.13039/501100001809;10.13039/100000086;10.13039/100000164;10.13039/100000104;10.13039/100001309;10.13039/501100000271;10.13039/501100000271,https://ror.org/021wm7p51;https://ror.org/02m388s04;https://ror.org/018mejw64;https://ror.org/0472cxd90;https://ror.org/00k4n6c32;https://ror.org/05v75r592;https://ror.org/01h0zpd94;https://ror.org/029b7h395;https://ror.org/04mg8wm74;https://ror.org/027ka1x80;https://ror.org/00jp8d455;https://ror.org/057g20z61;https://ror.org/057g20z61,Agazie G.;Antoniadis J.;Anumarlapudi A.;Archibald A. M.;Arumugam P.;Arumugam S.;Arzoumanian Z.;Askew J.;Babak S.;Bagchi M.;Bailes M.;Baker P. T.;Bassa C. G.;Bathula A.;Berthereau A.;Bhat N. D. R.;Blecha L.;Bonetti M.;Bortolas E.;Brazier A.;Brook P. R.;Burgay M.;Burke-Spolaor S.;Burnette R.;Bécsy B.;Caballero R. N.;Cameron A.;Case R.;Chalumeau A.;Champion D. J.;Chanlaridis S.;Charisi M.;Chatterjee S.;Chatziioannou K.;Cheeseboro B. D.;Chen S.;Chen Z.-C.;Cognard I.;Cohen T.;Coles W. A.;Cordes J. M.;Cornish N. J.;Crawford F.;Cromartie H. T.;Crowter K.;Curyło M.;Cutler C. J.;Dai S.;Dandapat S.;DeCesar M. E.;DeGan D.;Deb D.;Demorest P. B.;Deng H.;Desai S.;Desvignes G.;Dey L.;Dhanda-Batra N.;Di Marco V.;Dolch T.;Drachler B.;Dwivedi C.;Ellis J. A.;Falxa M.;Feng Y.;Ferdman R. D.;Ferrara E. C.;Fiore W.;Fonseca E.;Franchini A.;Freedman G. E.;Gair J. R.;Garver-Daniels N.;Gentile P. A.;Gersbach K. A.;Glaser J.;Goncharov B.;Good D. C.;Gopakumar A.;Graikou E.;Griessmeier J.-M.;Grunthal K.;Guillemot L.;Guo Y. J.;Gupta Y.;Gültekin K.;Hazboun J. S.;Hisano S.;Hobbs G. B.;Hourihane S.;Hu H.;Iraci F.;Islo K.;Izquierdo-Villalba D.;Jang J.;Janssen G. H.;Jawor J.;Jennings R. J.;Jessner A.;Johnson A. D.;Jones M. L.;Joshi B. C.;Kaiser A. R.;Kaplan D. L.;Kapur A.;Kareem F.;Karuppusamy R.;Keane E. F.;Keith M. J.;Kelley L. Z.;Kerr M.;Key J. S.;Kharbanda D.;Kikunaga T.;Klein T. C.;Kolhe N.;Kramer M.;Krishnakumar M. A.;Kulkarni A.;Laal N.;Lackeos K.;Lam M. T.;Lamb W. G.;Larsen B. B.;Lazio T. J. W.;Leclere H. Quelquejay;Lee K. J.;Levin Y.;Lewandowska N.;Littenberg T. B.;Liu K.;Liu T.;Liu Y.;Lommen A.;Lorimer D. R.;Lower M. E.;Luo J.;Luo R.;Lynch R. S.;Lyne A. G.;Ma C.-P.;Maan Y.;Madison D. R.;Main R. A.;Manchester R. N.;Mandow R.;Mattson M. A.;McEwen A.;McKee J. W.;McLaughlin M. A.;McMann N.;Meyers B. W.;Meyers P. M.;Mickaliger M. B.;Miles M.;Mingarelli C. M. F.;Mitridate A.;Natarajan P.;Nathan R. S.;Ng C.;Nice D. J.;Nielsen A.-S. Bak;Niţu I. C.;Nobleson K.;Ocker S. K.;Olum K. D.;Osłowski S.;Paladi A. K.;Parthasarathy A.;Pennucci T. T.;Perera B. B. P.;Perrodin D.;Petiteau A.;Petrov P.;Pol N. S.;Porayko N. K.;Possenti A.;Prabu T.;Radovan H. A.;Rana P.;Ransom S. M.;Ray P. S.;Reardon D. J.;Rogers A. F.;Romano J. D.;Russell C. J.;Samajdar A.;Sanidas S. A.;Sardesai S. C.;Schmiedekamp A.;Schmiedekamp C.;Schmitz K.;Schult L.;Sesana A.;Shaifullah G.;Shannon R. M.;Shapiro-Albert B. J.;Siemens X.;Simon J.;Singha J.;Siwek M. S.;Speri L.;Spiewak R.;Srivastava A.;Stairs I. H.;Stappers B. W.;Stinebring D. R.;Stovall K.;Sun J. P.;Surnis M.;Susarla S. C.;Susobhanan A.;Swiggum J. K.;Takahashi K.;Tarafdar P.;Taylor J.;Taylor S. R.;The International Pulsar Timing Array Collaboration;Theureau G.;Thrane E.;Thyagarajan N.;Tiburzi C.;Toomey L.;Turner J. E.;Unal C.;Vallisneri M.;Vecchio A.;Venkatraman Krishnan V.;Verbiest J. P. W.;Vigeland S. J.;Wahl H. M.;Wang J.;Wang L.;Wang Q.;Wang S.;Wayt K. E.;Witt C. A.;Wu Z.;Young O.;Zhang L.;Zhang S.;Zhu X.-J.;Zic A.;van Haasteren R.;van der Wateren E.,Comparing Recent Pulsar Timing Array Results on the Nanohertz Stochastic Gravitational-wave Background,The Astrophysical Journal,2024-04-29,2024-01-05,19/8/2024,29/4/2024,vor,http://creativecommons.org/licenses/by/4.0/,29/04/2024,,journal-article,9/5/2024,14/9/2024,,09/0079(15784)/2022-EMR-I;RTI 4002;PO 2758/1-1;227947;101094354;01431;11690024;1430284;2202388;80GSFC21M0002;27553;ST/T000414/1;ST/T506291/1,Yes,,Yes,CHORUS,Crossref
45481,10.1051/0004-6361/202449912,EDP Sciences,NASA,10.13039/100000104,https://ror.org/027ka1x80,Bellinger Earl P.;Johnston Cole;Renzo Mathieu;Townsend Richard;Wagg Tom;de Mink Selma E.,The asteroseismic imprints of mass transfer,Astronomy &amp; Astrophysics,2024-07-15,2024-07-01,,,vor,,,,journal-article,9/5/2024,14/9/2024,,80NSSC20K0515,Unknown,,Unknown,,Crossref
45482,10.1093/mnras/stae1145,Oxford University Press (OUP),Alexander S. Onassis Public Benefit Foundation;NASA;NSF;Simons Foundation,10.13039/501100005302;10.13039/100000104;10.13039/100000001;10.13039/100000893,https://ror.org/017nq0d63;https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/01cmst727,Berti Emanuele;Kritos Konstantinos;Silk Joseph,Supermassive black holes from runaway mergers and accretion in nuclear star clusters,Monthly Notices of the Royal Astronomical Society,2024-06-05,2024-05-13,18/9/2024,7/5/2024,vor,https://creativecommons.org/licenses/by/4.0/,07/05/2024,,journal-article,8/6/2024,,,F ZT 041–1/2023-2024;20-LPS20-0011;21-ATP21-0010;AST-2006538;PHY-2207502;PHY-090003;PHY-20043;OAC-1920103;PGR01167,Yes,,Yes,CHORUS,Crossref
45483,10.1021/acsami.4c02463,American Chemical Society (ACS),NASA,10.13039/100000104,https://ror.org/027ka1x80,Bolzani Brandon Nicholas;Feller Jeffrey R.;Hartwig Jason W.;Ibekwe Chieloka;Mahony Colin P.;Narayan Shankar;O’Brien Connor;Swanger Adam M.;Waataja Cooper James;Wang Xuanjie,Synthesis Optical Performance Characterization and Durability of Electrospun PTFEPEO Materials for Space Applications,ACS Applied Materials &amp; Interfaces,2024-05-21,2024-06-26,19/11/2024,,,,,,journal-article,8/6/2024,13/9/2024,,80NSSC21K0072,Yes,,No,GetFTR,Crossref
45484,10.1103/physrevresearch.6.023171,American Physical Society (APS),Aeronautics Research Mission Directorate;Ames Research Center;Defense Advanced Research Projects Agency,10.13039/100016821;10.13039/100006195;10.13039/100000185,https://ror.org/027ka1x80;https://ror.org/02acart68;https://ror.org/02caytj08,Hadfield Stuart;Hogg Tad;Rieffel Eleanor;Sud James;Tubman Norm,Parameter-setting heuristic for the quantum alternating operator ansatz,Physical Review Research,2024-05-15,,3/9/2024,15/5/2024,vor,https://creativecommons.org/licenses/by/4.0/,15/05/2024,,journal-article,8/6/2024,13/9/2024,,IAA8839;NNA16BD14C,Yes,,Yes,GetFTR,Crossref
45485,10.1016/j.aosl.2024.100510,Elsevier BV,NASA;National Natural Science Foundation of China,10.13039/100000104;10.13039/501100001809,https://ror.org/027ka1x80;https://ror.org/01h0zpd94,Deng Ximing;Dong Li;Han Yong;Liu Yan;Weng Haorui,Physical characteristics of convective and non-convective cirrus clouds from CALIPSO data over the South China Sea,Atmospheric and Oceanic Science Letters,,2024-04-01,17/7/2025,,vor,http://creativecommons.org/licenses/by-nc-nd/4.0/,23/04/2024,,journal-article,8/6/2024,6/8/2024,,42027804;41775026;41075012,Yes,,Unknown,,Crossref
45487,10.1103/physrevd.109.063015,American Physical Society (APS),Junta de Castilla y León;Ministerio de Ciencia e Innovación;NASA,10.13039/501100014180;10.13039/501100004837;10.13039/100000104,https://ror.org/02s8dab97;https://ror.org/05r0vyz12;https://ror.org/027ka1x80,Albertus Conrado;Pérez-García M. Ángeles;Silk Joseph;Zenati Yossef,Neutrino signals from neutron star implosions to black holes,Physical Review D,2024-03-13,,10/9/2024,,vor,,,,journal-article,17/4/2024,14/9/2024,,SA096P20;PID2019-107778GB-100;PID2022-137887NB-100;NNH17ZDA001N,Yes,,No,CHORUS,Crossref
45489,10.1364/ao.511438,Optica Publishing Group,NASA,10.13039/100000104,https://ror.org/027ka1x80,Cheng Michael K.;Davis Anthony B.;Dolinar Sam J.;Roberts Lewis C.,Analytical propagation model for underwater free-space optical communication through realistic levels of oceanic absorption andscattering,Applied Optics,2024-11-04,2024-01-06,11/8/2025,,am,https://doi.org/10.1364/OA_License_v2#AM,11/04/2025,,journal-article,17/4/2024,14/9/2024,,80NM0018D0004,Yes,,Unknown,,Crossref
45490,10.3847/1538-3881/ad2601,American Astronomical Society,NASA;NASA,10.13039/100000104;10.13039/100000104,https://ror.org/027ka1x80;https://ror.org/027ka1x80,Boyer M. L.;Groenewegen Martin A. T.;Jones O. C.;Kemper F.;Kraemer Kathleen E.;Kuchar T. A.;McDonald Iain;Mizuno D. R.;Oliveira Joana M.;Sewiło Marta;Sloan G. C.;Srinivasan Sundar;Zijlstra Albert;van Loon Jacco Th.,SMC-Last Extracted Photometry,The Astronomical Journal,2024-11-03,2024-01-04,10/7/2024,11/3/2024,vor,http://creativecommons.org/licenses/by/4.0/,11/03/2024,,journal-article,17/4/2024,,,80NSSC19K0585;80NSSC22K0168,Yes,,Yes,CHORUS,Crossref
45493,10.1111/ijag.16664,Wiley,Air Force Research Laboratory;NASA;USDOE,10.13039/100006602;10.13039/100000104;10.13039/100000015,https://ror.org/02e2egq70;https://ror.org/027ka1x80;https://ror.org/01bj3aw27,Alrubkhi Abdulrahman;Mafi Arash;Neumann Alexander;Topper Brian;Weber Richard;Wilke Stephen K.,Siteselective fluorescence and spectroscopic properties of Ybdoped lanthanum titanate glasses,International Journal of Applied Glass Science,2024-04-17,2024-07-01,12/9/2024,,vor,http://onlinelibrary.wiley.com/termsAndConditions#vor,17/04/2024,,journal-article,19/4/2024,8/6/2024,,FA9451‐22‐2‐0016;80NSSC19K1288;DE‐SC0018601,Yes,,No,CHORUS,Crossref
45494,10.1093/mnras/stae622,Oxford University Press (OUP),ESA;European Space Agency;NASA;Swiss National Science Foundation,10.13039/100006291;10.13039/501100000844;10.13039/100000104;10.13039/501100001711,https://ror.org/03awpb417;https://ror.org/03wd9za21;https://ror.org/027ka1x80;https://ror.org/00yjd3n13,Altwegg Kathrin;Berthelier Jean-Jacques;Combi Michael R;De Keyser Johan;Fuselier Stephen A;Garnier Philippe;Hänni Nora;Mall Urs;Müller Daniel R;Rubin Martin;Wampfler Susanne F;Wurz Peter,Deciphering cometary outbursts: linking gas composition changes to trigger mechanisms,Monthly Notices of the Royal Astronomical Society,2024-02-29,2024-03-18,18/9/2024,1/3/2024,vor,https://creativecommons.org/licenses/by/4.0/,01/03/2024,,journal-article,8/5/2024,,,200020_207312;PCEFP2_181150,Yes,,Yes,CHORUS,Crossref
45495,10.1051/0004-6361/202450218,EDP Sciences,NASA;national research foundation korea,10.13039/100000104;10.13039/501100003725,https://ror.org/027ka1x80;https://ror.org/013aysd81,Bach U.;Debbrecht L. C.;Hodgson J. A.;Janssen M.;Kim J.-Y.;Kramer J. A.;Krichbaum T. P.;Liodakis I.;Lisakov M.;MacDonald N. R.;Nair D. G.;Paraschos G. F.;Ros E.;Savolainen T.;Traianou E.;Zensus J. A.,Evidence of a toroidal magnetic field in the core of 3C 84,Astronomy &amp; Astrophysics,2024-05-27,2024-06-01,,,vor,,,,journal-article,8/5/2024,13/9/2024,,,Unknown,,Unknown,,Crossref
45496,10.1016/j.biopha.2024.116666,Elsevier BV,NASA West Virginia Space Grant Consortium;NASA;National Institute of General Medical Sciences;NIH,10.13039/100005768;10.13039/100000104;10.13039/100000057;10.13039/100000002,https://ror.org/01zpqad83;https://ror.org/027ka1x80;https://ror.org/04q48ey07;https://ror.org/01cwqze88,Bender Christopher;Brown Kathleen C.;Cox Ashley;Valentovic Monica A.,The e-liquid flavoring cinnamaldehyde induces cellular stress responses in human proximal tubule (HK-2) kidney cells,Biomedicine &amp; Pharmacotherapy,,2024-06-01,17/7/2025,,vor,http://creativecommons.org/licenses/by-nc-nd/4.0/,24/04/2024,,journal-article,8/5/2024,14/9/2024,,80NSSC20M0055;2022-2023;P20GM103434;2021-2024,Yes,,Unknown,,Crossref
45497,10.1093/mnras/stae1030,Oxford University Press (OUP),NASA;NSF;University of Delaware,10.13039/100000104;10.13039/100000001;10.13039/100006094,https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/01sbq1a82,Kochukhov Oleg;MacDonald James;Natan Tali;Petit Véronique;Shultz Matthew E,Using ZDI maps to determine magnetic forces and torques at the photospheres of early-type stars,Monthly Notices of the Royal Astronomical Society,2024-04-16,2024-04-25,18/9/2024,17/4/2024,vor,https://creativecommons.org/licenses/by/4.0/,17/04/2024,,journal-article,9/5/2024,9/6/2024,,NNX15AI19H;AST-2108455,Yes,,Yes,CHORUS,Crossref
45498,10.5194/tc-18-2583-2024,Copernicus GmbH,NASA;National Centre for Earth Observation;NSF,10.13039/100000104;10.13039/501100013341;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/0375jbm11;https://ror.org/021nxhr62,Dutrieux Pierre;Joughin Ian;Shapero Daniel,Responses of the Pine Island and Thwaites glaciers to melt and sliding parameterizations,The Cryosphere,2024-05-28,,,,vor,,,,journal-article,8/6/2024,13/9/2024,,80NSSC20K0954;None;OAC-1835321,Unknown,,Unknown,,Crossref
